Subject,Start Date,End Date,Start Time,End Time,Description
I466-国際標準化概論,2021/11/26,2021/11/26,17:10:00,18:50:00,講師: 大西（祥）
I484F-ロボティクス,2021/11/26,2021/11/26,18:30:00,21:55:00,講師: Chong・Elibol
I211-数理論理学,2021/11/27,2021/11/27,09:20:00,12:50:00,講師: 小川
I239-機械学習,2021/11/28,2021/11/28,09:20:00,17:20:00,講師: 岡田(将)・長谷川
K443-経営戦略論,2021/11/28,2021/11/28,09:20:00,17:20:00,講師: 遠山
I416-並列処理,2021/11/28,2021/11/28,13:50:00,17:20:00,講師: 井口
K620-先端知識科学特論,2021/11/30,2021/11/30,18:30:00,21:55:00,講師: 橋本
K620-先端知識科学特論,2021/12/01,2021/12/01,18:30:00,21:55:00,講師: 橋本
I484F-ロボティクス,2021/12/03,2021/12/03,18:30:00,21:55:00,講師: Chong・Elibol
I211-数理論理学,2021/12/04,2021/12/04,09:20:00,12:50:00,講師: 小川
I212-情報解析学特論,2021/12/04,2021/12/04,09:20:00,12:50:00,講師: 吉高
I484F-ロボティクス,2021/12/04,2021/12/04,09:20:00,12:50:00,講師: Chong・Elibol
I416-並列処理,2021/12/04,2021/12/04,13:50:00,17:20:00,講師: 井口
I468-ダイナミクスのモデリング,2021/12/04,2021/12/04,13:50:00,17:20:00,講師: 前園
K629-IoT·AIイノベーション特論,2021/12/04,2021/12/04,13:50:00,17:20:00,講師: 東条
I239-機械学習,2021/12/05,2021/12/05,09:20:00,17:20:00,講師: 岡田(将)・長谷川
I416-並列処理,2021/12/05,2021/12/05,09:20:00,12:50:00,講師: 井口
K443-経営戦略論,2021/12/05,2021/12/05,09:20:00,17:20:00,講師: 遠山
I468-ダイナミクスのモデリング,2021/12/05,2021/12/05,13:50:00,17:20:00,講師: 前園
K470-知識創造論,2021/12/06,2021/12/06,18:30:00,21:55:00,講師: 由井薗
K470-知識創造論,2021/12/07,2021/12/07,18:30:00,21:55:00,講師: 由井薗
K470-知識創造論,2021/12/08,2021/12/08,18:30:00,21:55:00,講師: 由井薗
K470-知識創造論,2021/12/09,2021/12/09,18:30:00,21:55:00,講師: 由井薗
I466-国際標準化概論,2021/12/10,2021/12/10,17:10:00,18:50:00,講師: 大西（祥）
I484F-ロボティクス,2021/12/10,2021/12/10,18:30:00,21:55:00,講師: Chong・Elibol
K470-知識創造論,2021/12/10,2021/12/10,18:30:00,21:55:00,講師: 由井薗
I211-数理論理学,2021/12/11,2021/12/11,09:20:00,12:50:00,講師: 小川
I212-情報解析学特論,2021/12/11,2021/12/11,09:20:00,12:50:00,講師: 吉高
K470-知識創造論,2021/12/11,2021/12/11,09:20:00,17:20:00,講師: 由井薗
I468-ダイナミクスのモデリング,2021/12/11,2021/12/11,13:50:00,17:20:00,講師: 前園
I239-機械学習,2021/12/12,2021/12/12,09:20:00,12:50:00,講師: 岡田(将)・長谷川
K443-経営戦略論,2021/12/12,2021/12/12,09:20:00,17:20:00,講師: 遠山
K489-観光地域サービス論,2021/12/13,2021/12/13,18:30:00,21:55:00,講師: 敷田
K489-観光地域サービス論,2021/12/14,2021/12/14,18:30:00,21:55:00,講師: 敷田
K489-観光地域サービス論,2021/12/15,2021/12/15,18:30:00,21:55:00,講師: 坂村
K489-観光地域サービス論,2021/12/16,2021/12/16,18:30:00,21:55:00,講師: 坂村
I466-国際標準化概論,2021/12/17,2021/12/17,17:10:00,18:50:00,講師: 大西（祥）
K489-観光地域サービス論,2021/12/17,2021/12/17,18:30:00,21:55:00,講師: 坂村
I211-数理論理学,2021/12/18,2021/12/18,09:20:00,12:50:00,講師: 小川
I212-情報解析学特論,2021/12/18,2021/12/18,09:20:00,12:50:00,講師: 吉高
K489-観光地域サービス論,2021/12/18,2021/12/18,09:20:00,17:20:00,講師: 敷田
I416-並列処理,2021/12/18,2021/12/18,13:50:00,17:20:00,講師: 井口
I468-ダイナミクスのモデリング,2021/12/18,2021/12/18,13:50:00,17:20:00,講師: 前園
I468-ダイナミクスのモデリング,2021/12/19,2021/12/19,13:50:00,17:20:00,講師: 前園
K493E-ビジネス分析のためのデータサイエンス,2021/12/20,2021/12/20,18:30:00,21:55:00,講師: Huynh
K493E-ビジネス分析のためのデータサイエンス,2021/12/21,2021/12/21,18:30:00,21:55:00,講師: Huynh
